slice_id,capability,current_path,status,delete_in_pr,notes
r1-1,hook_tests,core/hud-hook/tests,done,no,Regression tests added in hook_types test module
r1-2,body_cap_logic,core/hud-hook/src/serve.rs,done,yes,Added bounded body read enforcing MAX_BODY_BYTES for all request modes
r1-2,body_cap_tests,core/hud-hook/tests,done,no,Added oversized chunked/no-content-length rejection regression test
r1-3,verify_hook_binary,core/capacitor-core/src/runtime_setup.rs,done,yes,Replaced handle probe with --help probe requiring serve/cwd CLI surface
r1-3,verify_hook_tests,core/capacitor-core/tests,done,no,Added unsupported-CLI verification regression in runtime_setup tests
r1-3,verify_script,scripts/sync-hooks.sh,done,no,No change required (already aligned to supported CLI)
s1-1,setup_crash_fix,apps/swift/Sources/Capacitor/Models/SetupRequirements.swift,done,yes,Replaced fatalError with recoverable initialization failure state
s1-1,setup_ui_state,apps/swift/Sources/Capacitor/Views/Setup/WelcomeView.swift,done,no,Added surfaced onboarding error message for runtime init failure
s1-1,setup_tests,apps/swift/Tests/CapacitorTests,done,no,Added initialization failure regression coverage in SetupRequirementsManagerTests
s1-2,stale_guard_atomicity,apps/swift/Sources/Capacitor/Models/AppState.swift,done,yes,Applied shared freshness guard before both session and shell-state commits
s1-2,stale_guard_tests,apps/swift/Tests/CapacitorTests/AppStateSessionObservationTests.swift,done,no,Added stale generation regression proving shell state is not mutated
s1-3,metadata_hold_fix,apps/swift/Sources/Capacitor/Models/SessionStateManager.swift,done,yes,Replaced global rollback with held-path scoped metadata fallback
s1-3,metadata_tests,apps/swift/Tests/CapacitorTests/SessionStateManagerTests.swift,done,no,Added held-project metadata isolation regression test
s1-4,terminal_race_fix,apps/swift/Sources/Capacitor/Models/TerminalLauncher.swift,done,yes,Synchronized output mutation and added cancellation/timeout process termination guard
s1-4,terminal_tests,apps/swift/Tests/CapacitorTests,done,no,Added prompt cancellation regression and validated existing large-output stress coverage
s1-5,dragdrop_order_fix,apps/swift/Sources/Capacitor/Models/AppState.swift,done,yes,Refactored drop URL extraction to deterministic loader collector with lock-protected append/snapshot
s1-5,dragdrop_tests,apps/swift/Tests/CapacitorTests,done,no,Added AppStateDropTests coverage for mixed async valid/invalid loader outcomes
s2-1,creation_monitor_fix,apps/swift/Sources/Capacitor/Models/AppState.swift,done,yes,Tracked session/completion monitor tasks by creation id and blocked terminal-state reactivation
s2-1,creation_tests,apps/swift/Tests/CapacitorTests,done,no,Added cancellation/reactivation regression coverage in AppStateCreationTests
s2-2,hook_lifecycle_fix,apps/swift/Sources/Capacitor/Models/HookServerManager.swift,done,yes,Removed blocking stop path, added lifecycle-token health checks, and validated pid adoption identity
s2-2,hook_lifecycle_tests,apps/swift/Tests/CapacitorTests,done,no,Added HookServerManagerTests for stop intent, late health failure, and pid adoption behavior
r2-1,health_semantics,core/capacitor-core/src/lib.rs,done,yes,Health grace now requires active states plus recent activity instead of broad non-idle classification
r2-1,snapshot_semantics,core/capacitor-core/src/runtime_state/snapshot.rs,done,no,Runtime session snapshots no longer fabricate alive=true when loading persisted sessions
r2-1,health_tests,core/capacitor-core/tests,done,no,Added helper-level grace-window regressions and snapshot liveness mapping coverage
r2-2,project_sorting,core/capacitor-core/src/runtime_projects.rs,done,yes,Project ordering now follows latest non-agent session file activity rather than project directory mtime
r2-2,project_sort_tests,core/capacitor-core/tests,done,no,Added regression proving append-only session activity beats newer directory mtime
s2-3,details_concurrency,apps/swift/Sources/Capacitor/Models/ProjectDetailsManager.swift,done,yes,Consolidated git subprocess waits behind detached loader path and shared command runner
s2-3,details_tests,apps/swift/Tests/CapacitorTests,done,no,Added ProjectDetailsManager regression proving main actor stays responsive during blocked git context loading
a3-1,appstate_decomposition,apps/swift/Sources/Capacitor/Models/AppState.swift,done,yes,Reduced AppState to a composition-root facade for project creation and delegated workflow execution to a bounded coordinator
a3-1,service_modules,apps/swift/Sources/Capacitor/Models,done,no,Introduced ProjectCreationCoordinator as an explicit service module owning creation persistence and async monitor lifecycle
a3-1,appstate_refactor_tests,apps/swift/Tests/CapacitorTests,done,no,Preserved creation-behavior regression coverage while the project-creation seam moved behind AppState shims
a3-2,activation_ownership_rust,core/capacitor-core/src/runtime_activation,done,yes,Quarantined Rust activation planner behind test-only compilation and removed its UniFFI-facing ownership claim
a3-2,activation_ownership_swift,apps/swift/Sources/Capacitor/Models/TerminalLauncher.swift,done,no,Retained TerminalLauncher as the single production activation owner without behavior churn
a3-2,activation_bridge,apps/swift/Sources/Capacitor/Bridge/capacitor_core.swift,done,no,Regenerated Swift bridge to remove activation planner APIs and associated activation types from the public FFI surface
a3-3,setup_state_machine,apps/swift/Sources/Capacitor/Models/SetupRequirements.swift,done,yes,Replaced ad hoc onboarding step mutation with explicit SetupLifecycleState transitions for initialize/check/install/shell flows
a3-3,lifecycle_state_machine,apps/swift/Sources/Capacitor/Models/HookServerManager.swift,done,no,Centralized hook-server lifecycle transitions in HookServerLifecycleState with explicit restart/ready/stop directives
a3-4,feature_isolation,apps/swift/Sources/Capacitor/Features,done,no,Introduced ProjectFeatureCoordinator as the feature-policy boundary for project detail, idea capture, and feature-gated project creation flows
a3-4,feature_integration,apps/swift/Sources/Capacitor/Models/AppState.swift,done,yes,Reduced AppState to thin delegating shims for feature-gated navigation and idea/project actions
a3-4,feature_tests,apps/swift/Tests/CapacitorTests,done,no,Added ProjectFeatureCoordinatorTests covering disabled/enabled feature delegation and error propagation
a3-5,glass_config_ownership,apps/swift/Sources/Capacitor/Theme/GlassConfig.swift,done,yes,Moved GlassConfig to a production-owned theme path while preserving the same live shared observable used by the tuning panel
a3-5,debug_boundary,apps/swift/Sources/Capacitor/Debug,done,no,Introduced explicit debug surface wrappers for app commands/windows, setup preview controls, and inline project diagnostics
a3-5,debug_integration,apps/swift/Sources/Capacitor/Views,done,yes,Removed direct debug/tuning ownership from production App, Projects, and Welcome views
a3-5,debug_guardrails,.claude/migration/guard.sh,done,no,Added denylist ratchets preventing concrete debug windows/cards and debug-owned GlassConfig paths from re-entering production files
t4-1,time_determinism_tests,apps/swift/Tests/CapacitorTests/SessionStateManagerTests.swift,done,yes,Replaced brittle fixed-date literals with deterministic fixture time helpers and corrected held-active expectations
t4-1,time_provider,apps/swift/Sources/Capacitor/Utilities/SessionStaleness.swift,done,no,Introduced SessionClock plus clock-based stale evaluation helpers
t4-1,state_time_usage,apps/swift/Sources/Capacitor/Models/SessionStateManager.swift,done,no,Injected merge-time clock into working-staleness normalization so tests no longer depend on wall-clock Date()
t4-1,time_guardrail,.claude/migration/guard.sh,done,no,Dropped the SessionStateManager fixed-date ratchet budget from 4 to 0 after eliminating hard-coded 2026-02-28 literals
t4-2,swift_regression_suite,apps/swift/Tests/CapacitorTests,done,no,Added ProjectCreationCoordinator and SessionStateManager regressions covering deterministic session attribution and recency-over-stale-working arbitration
t4-2,swift_runtime_failure_hysteresis,apps/swift/Sources/Capacitor/Models/AppState.swift,done,yes,Repeated fresh runtime snapshot failures now clear stale runtime-derived state after a two-failure threshold and reset on success
t4-2,swift_shell_runtime_clear,apps/swift/Sources/Capacitor/Models/ShellStateStore.swift,done,no,Added explicit runtime shell-state clear path used when snapshot failures exceed hysteresis threshold
t4-2,swift_runtime_failure_tests,apps/swift/Tests/CapacitorTests/AppStateSessionObservationTests.swift,done,no,Added regression coverage for repeated runtime snapshot failures and success-reset hysteresis
t4-2,swift_regression_suite,apps/swift/Tests/CapacitorTests,done,no,Added ProjectCreationCoordinator, SessionStateManager, and AppState runtime failure regressions covering audited edge cases
t4-2,swift_creation_selection,apps/swift/Sources/Capacitor/Models/ProjectCreationCoordinator.swift,done,yes,Session discovery now chooses the newest discovered session file deterministically by mtime with stable filename tie-break
t4-2,swift_state_arbitration,apps/swift/Sources/Capacitor/Models/SessionStateManager.swift,done,yes,Direct-match arbitration now prefers recency before activity and compares normalized stale-working state
t4-2,rust_hook_health_contract,core/capacitor-core/src/lib.rs,done,no,Added public check_hook_health grace-semantics coverage using persisted snapshot and heartbeat fixtures
t4-2,rust_regression_suite,core/capacitor-core/tests,done,no,Added runtime_setup, runtime_projects, and public hook-health regression coverage for audited edge cases
t4-2,rust_validation_scope,core/capacitor-core/src/runtime_validation.rs,done,yes,Cargo metadata extraction is now scoped to the [package] section with direct regression coverage
t4-2,rust_setup_contract,core/capacitor-core/src/runtime_setup.rs,done,no,Added positive and negative verify_hook_binary help-surface tests guarded by an env lock
t4-2,rust_project_recency,core/capacitor-core/src/runtime_projects.rs,done,no,Added regression proving agent transcripts do not drive project ordering or last_active
t4-2,hook_regression_suite,core/hud-hook/tests,done,no,Added serve_integration coverage for missing-cwd skip/delete behavior and valid chunked hook bodies
t4-3,docs_alignment,docs,done,yes,Updated architecture and release-gate docs to describe post-migration ownership and operational verification accurately
t4-3,file_header_alignment,apps/swift/Sources/Capacitor/Models/SessionStateManager.swift,done,yes,Header now describes Swift-owned projection, attribution, and hysteresis responsibilities
t4-3,agent_guidance,CLAUDE.md,done,no,Top-level guidance now reflects current Rust/Swift ownership boundaries and key files
t4-4,ci_operational_checks,.github/workflows,done,no,Pre-merge CI and nightly workflow now invoke the shared runtime reliability wrapper with explicit timeouts
t4-4,operational_scripts,scripts,done,no,Added scripts/ci/runtime-reliability.sh to compose guard, replay gate, and nightly soak execution
t4-4,guard_extension,.claude/migration/guard.sh,done,no,Added wiring checks that keep CI, nightly schedule, and reliability wrapper composition from regressing
